pod_name,timestamp,total,active,idle,gc_candidates,zombie
active-53,20250918_215125,1,1,0,0,0
active-54,20250918_215126,1,1,0,0,0
active-55,20250918_215126,1,1,0,0,0
active-56,20250918_215127,1,1,0,0,0
active-57,20250918_215127,1,1,0,0,0
active-58,20250918_215128,1,1,0,0,0
active-59,20250918_215128,1,1,0,0,0
active-6,20250918_215129,1,1,0,0,0
active-60,20250918_215129,1,1,0,0,0
active-61,20250918_215130,1,1,0,0,0
active-7,20250918_215131,1,1,0,0,0
active-8,20250918_215131,1,1,0,0,0
active-9,20250918_215132,1,1,0,0,0
idle-0,20250918_215132,1,1,0,0,0
idle-1,20250918_215133,1,1,0,0,0
idle-10,20250918_215133,1,0,1,0,0
idle-11,20250918_215134,1,0,1,0,0
idle-12,20250918_215134,1,1,0,0,0
idle-13,20250918_215134,1,0,1,0,0
idle-14,20250918_215134,1,0,1,0,0
idle-15,20250918_215135,1,0,1,0,0
idle-16,20250918_215135,1,0,1,0,0
idle-17,20250918_215135,1,0,1,0,0
idle-18,20250918_215136,1,0,1,0,0
idle-19,20250918_215136,1,0,1,0,0
idle-2,20250918_215136,1,0,1,0,0
idle-20,20250918_215137,1,0,1,0,0
idle-21,20250918_215137,1,0,1,0,0
idle-22,20250918_215137,1,0,1,0,0
idle-23,20250918_215138,1,1,0,0,0
idle-24,20250918_215138,1,0,1,0,0
idle-25,20250918_215138,1,1,0,0,0
idle-26,20250918_215138,1,0,1,0,0
idle-27,20250918_215139,1,0,1,0,0
idle-28,20250918_215139,1,0,1,0,0
idle-29,20250918_215139,1,0,1,0,0
idle-3,20250918_215140,1,0,1,0,0
idle-30,20250918_215140,1,0,1,0,0
idle-31,20250918_215140,1,1,0,0,0
idle-32,20250918_215140,1,0,1,0,0
idle-33,20250918_215141,1,1,0,0,0
idle-34,20250918_215141,1,0,1,0,0
idle-35,20250918_215141,1,0,1,0,0
idle-36,20250918_215141,1,0,1,0,0
idle-37,20250918_215142,1,0,1,0,0
idle-4,20250918_215142,1,0,1,0,0
idle-5,20250918_215142,1,0,1,0,0
idle-6,20250918_215143,1,0,1,0,0
idle-7,20250918_215143,1,0,1,0,0
idle-8,20250918_215143,1,0,1,0,0
idle-9,20250918_215144,1,1,0,0,0
active-0,20250918_215245,1,1,0,0,0
active-1,20250918_215245,1,1,0,0,0
active-10,20250918_215245,1,1,0,0,0
active-11,20250918_215246,1,1,0,0,0
active-12,20250918_215246,1,1,0,0,0
active-13,20250918_215246,1,1,0,0,0
active-14,20250918_215247,1,1,0,0,0
active-15,20250918_215248,1,1,0,0,0
active-16,20250918_215248,1,1,0,0,0
active-17,20250918_215249,1,1,0,0,0
active-18,20250918_215249,1,1,0,0,0
active-19,20250918_215250,1,1,0,0,0
active-2,20250918_215250,1,1,0,0,0
active-20,20250918_215251,1,1,0,0,0
active-21,20250918_215251,1,1,0,0,0
active-22,20250918_215252,1,1,0,0,0
active-23,20250918_215252,1,1,0,0,0
active-24,20250918_215252,1,1,0,0,0
active-25,20250918_215252,1,1,0,0,0
active-26,20250918_215253,1,1,0,0,0
active-27,20250918_215253,1,1,0,0,0
active-28,20250918_215253,1,1,0,0,0
active-29,20250918_215254,1,1,0,0,0
active-3,20250918_215254,1,1,0,0,0
active-30,20250918_215255,1,1,0,0,0
active-31,20250918_215255,1,1,0,0,0
active-32,20250918_215255,1,1,0,0,0
active-33,20250918_215256,1,1,0,0,0
active-34,20250918_215256,1,1,0,0,0
active-35,20250918_215256,1,1,0,0,0
active-36,20250918_215257,1,1,0,0,0
active-37,20250918_215257,1,1,0,0,0
active-38,20250918_215258,1,1,0,0,0
active-39,20250918_215259,1,1,0,0,0
active-4,20250918_215259,1,1,0,0,0
active-40,20250918_215300,1,1,0,0,0
active-41,20250918_215300,1,1,0,0,0
active-42,20250918_215300,1,1,0,0,0
active-43,20250918_215301,1,1,0,0,0
active-44,20250918_215301,1,1,0,0,0
active-45,20250918_215301,1,1,0,0,0
active-46,20250918_215301,1,1,0,0,0
active-47,20250918_215302,1,1,0,0,0
active-48,20250918_215302,1,1,0,0,0
active-49,20250918_215303,1,1,0,0,0
active-5,20250918_215303,1,1,0,0,0
active-50,20250918_215304,1,1,0,0,0
active-51,20250918_215304,1,1,0,0,0
active-52,20250918_215305,1,1,0,0,0
active-53,20250918_215305,1,1,0,0,0
active-54,20250918_215306,1,1,0,0,0
active-55,20250918_215306,1,1,0,0,0
active-56,20250918_215307,1,1,0,0,0
active-57,20250918_215308,1,1,0,0,0
active-58,20250918_215308,1,1,0,0,0
active-59,20250918_215308,1,1,0,0,0
active-6,20250918_215308,1,1,0,0,0
active-60,20250918_215309,1,1,0,0,0
active-61,20250918_215309,1,1,0,0,0
active-7,20250918_215309,1,1,0,0,0
active-8,20250918_215310,1,1,0,0,0
active-9,20250918_215311,1,1,0,0,0
idle-0,20250918_215311,1,0,1,0,0
idle-1,20250918_215312,1,0,1,0,0
idle-10,20250918_215312,1,0,1,0,0
idle-11,20250918_215312,1,0,1,0,0
idle-12,20250918_215313,1,0,1,0,0
idle-13,20250918_215313,1,0,1,0,0
idle-14,20250918_215313,1,0,1,0,0
idle-15,20250918_215313,1,1,0,0,0
idle-16,20250918_215314,1,0,1,0,0
idle-17,20250918_215314,1,0,1,0,0
idle-18,20250918_215314,1,1,0,0,0
idle-19,20250918_215314,1,0,1,0,0
idle-2,20250918_215314,1,0,1,0,0
idle-20,20250918_215315,1,0,1,0,0
idle-21,20250918_215315,1,0,1,0,0
idle-22,20250918_215315,1,0,1,0,0
idle-23,20250918_215315,1,0,1,0,0
idle-24,20250918_215316,1,0,1,0,0
idle-25,20250918_215316,1,0,1,0,0
idle-26,20250918_215316,1,0,1,0,0
idle-27,20250918_215316,1,0,1,0,0
idle-28,20250918_215317,1,0,1,0,0
idle-29,20250918_215317,1,1,0,0,0
idle-3,20250918_215317,1,0,1,0,0
idle-30,20250918_215317,1,0,1,0,0
idle-31,20250918_215318,1,0,1,0,0
idle-32,20250918_215318,1,0,1,0,0
idle-33,20250918_215318,1,0,1,0,0
idle-34,20250918_215318,1,0,1,0,0
idle-35,20250918_215318,1,0,1,0,0
idle-36,20250918_215318,1,0,1,0,0
idle-37,20250918_215319,1,0,1,0,0
idle-4,20250918_215320,1,0,1,0,0
idle-5,20250918_215320,1,0,1,0,0
idle-6,20250918_215320,1,0,1,0,0
idle-7,20250918_215321,1,0,1,0,0
idle-8,20250918_215321,1,0,1,0,0
idle-9,20250918_215321,1,0,1,0,0
active-0,20250918_215422,1,1,0,0,0
active-1,20250918_215422,1,1,0,0,0
active-10,20250918_215422,1,1,0,0,0
active-11,20250918_215422,1,1,0,0,0
active-12,20250918_215423,1,1,0,0,0
active-13,20250918_215423,1,1,0,0,0
active-14,20250918_215423,1,1,0,0,0
active-15,20250918_215424,1,1,0,0,0
active-16,20250918_215424,1,1,0,0,0
active-17,20250918_215425,1,1,0,0,0
active-18,20250918_215425,1,1,0,0,0
active-19,20250918_215426,1,1,0,0,0
active-2,20250918_215426,1,1,0,0,0
active-20,20250918_215427,1,1,0,0,0
active-21,20250918_215427,1,1,0,0,0
active-22,20250918_215427,1,1,0,0,0
active-23,20250918_215428,1,1,0,0,0
active-24,20250918_215428,1,1,0,0,0
active-25,20250918_215428,1,1,0,0,0
active-26,20250918_215429,1,1,0,0,0
active-27,20250918_215429,1,1,0,0,0
active-28,20250918_215429,1,1,0,0,0
active-29,20250918_215430,1,1,0,0,0
active-3,20250918_215431,1,1,0,0,0
active-30,20250918_215431,1,1,0,0,0
active-31,20250918_215431,1,1,0,0,0
active-32,20250918_215432,1,1,0,0,0
active-33,20250918_215432,1,1,0,0,0
active-34,20250918_215433,1,1,0,0,0
active-35,20250918_215434,1,1,0,0,0
active-36,20250918_215434,1,1,0,0,0
active-37,20250918_215435,1,1,0,0,0
active-38,20250918_215435,1,1,0,0,0
active-39,20250918_215435,1,1,0,0,0
active-4,20250918_215436,1,1,0,0,0
active-40,20250918_215437,1,1,0,0,0
active-41,20250918_215437,1,1,0,0,0
active-42,20250918_215437,1,1,0,0,0
active-43,20250918_215439,1,1,0,0,0
active-44,20250918_215439,1,1,0,0,0
active-45,20250918_215439,1,1,0,0,0
active-46,20250918_215440,1,1,0,0,0
active-47,20250918_215440,1,1,0,0,0
active-48,20250918_215441,1,1,0,0,0
active-49,20250918_215441,1,1,0,0,0
active-5,20250918_215442,1,1,0,0,0
active-50,20250918_215442,1,1,0,0,0
active-51,20250918_215443,1,1,0,0,0
active-52,20250918_215443,1,1,0,0,0
active-53,20250918_215444,1,1,0,0,0
active-54,20250918_215445,1,1,0,0,0
active-55,20250918_215445,1,1,0,0,0
active-56,20250918_215446,1,1,0,0,0
active-57,20250918_215447,1,1,0,0,0
active-58,20250918_215447,1,1,0,0,0
active-59,20250918_215447,1,1,0,0,0
active-6,20250918_215448,1,1,0,0,0
active-60,20250918_215448,1,1,0,0,0
active-61,20250918_215448,1,1,0,0,0
active-7,20250918_215449,1,1,0,0,0
active-8,20250918_215450,1,1,0,0,0
active-9,20250918_215451,1,1,0,0,0
idle-0,20250918_215451,1,0,1,0,0
idle-1,20250918_215452,1,0,1,0,0
idle-10,20250918_215452,1,0,1,0,0
idle-11,20250918_215452,1,0,1,0,0
idle-12,20250918_215452,1,0,1,0,0
idle-13,20250918_215452,1,0,1,0,0
idle-14,20250918_215453,1,0,1,0,0
idle-15,20250918_215453,1,0,1,0,0
idle-16,20250918_215453,1,0,1,0,0
idle-17,20250918_215453,1,0,1,0,0
idle-18,20250918_215454,1,0,1,0,0
idle-19,20250918_215454,1,0,1,0,0
idle-2,20250918_215454,1,1,0,0,0
idle-20,20250918_215454,1,0,1,0,0
idle-21,20250918_215455,1,0,1,0,0
idle-22,20250918_215455,1,0,1,0,0
idle-23,20250918_215455,1,0,1,0,0
idle-24,20250918_215456,1,0,1,0,0
idle-25,20250918_215456,1,1,0,0,0
idle-26,20250918_215456,1,0,1,0,0
idle-27,20250918_215456,1,0,1,0,0
idle-28,20250918_215456,1,1,0,0,0
idle-29,20250918_215456,1,0,1,0,0
idle-3,20250918_215457,1,0,1,0,0
idle-30,20250918_215457,1,0,1,0,0
idle-31,20250918_215457,1,0,1,0,0
idle-32,20250918_215457,1,0,1,0,0
idle-33,20250918_215458,1,0,1,0,0
idle-34,20250918_215458,1,0,1,0,0
idle-35,20250918_215458,1,1,0,0,0
idle-36,20250918_215459,1,0,1,0,0
idle-37,20250918_215459,1,1,0,0,0
idle-4,20250918_215500,1,0,1,0,0
idle-5,20250918_215500,1,0,1,0,0
idle-6,20250918_215500,1,1,0,0,0
idle-7,20250918_215500,1,1,0,0,0
idle-8,20250918_215500,1,0,1,0,0
idle-9,20250918_215501,1,0,1,0,0
active-0,20250918_215601,1,1,0,0,0
active-1,20250918_215602,1,1,0,0,0
active-10,20250918_215602,1,1,0,0,0
active-11,20250918_215603,1,1,0,0,0
active-12,20250918_215603,1,1,0,0,0
active-13,20250918_215603,1,1,0,0,0
active-14,20250918_215604,1,1,0,0,0
active-15,20250918_215604,1,1,0,0,0
active-16,20250918_215605,1,1,0,0,0
active-17,20250918_215605,1,1,0,0,0
active-18,20250918_215606,1,1,0,0,0
active-19,20250918_215607,1,1,0,0,0
active-2,20250918_215607,1,1,0,0,0
active-20,20250918_215608,1,1,0,0,0
active-21,20250918_215608,1,1,0,0,0
active-22,20250918_215608,1,1,0,0,0
active-23,20250918_215608,1,1,0,0,0
active-24,20250918_215609,1,1,0,0,0
active-25,20250918_215609,1,1,0,0,0
active-26,20250918_215609,1,1,0,0,0
active-27,20250918_215610,1,1,0,0,0
active-28,20250918_215610,1,1,0,0,0
active-29,20250918_215610,1,1,0,0,0
active-3,20250918_215611,1,1,0,0,0
active-30,20250918_215611,1,1,0,0,0
active-31,20250918_215611,1,1,0,0,0
active-32,20250918_215612,1,1,0,0,0
active-33,20250918_215613,1,1,0,0,0
active-34,20250918_215613,1,1,0,0,0
active-35,20250918_215614,1,1,0,0,0
active-36,20250918_215615,1,1,0,0,0
active-37,20250918_215615,1,1,0,0,0
active-38,20250918_215615,1,1,0,0,0
active-39,20250918_215616,1,1,0,0,0
