pod_name,timestamp,total,active,idle,gc_candidates,zombie
active-0,20250918_211829,1,0,1,0,0
active-1,20250918_211830,1,0,1,0,0
active-10,20250918_211830,1,0,1,0,0
active-11,20250918_211830,1,0,1,0,0
active-12,20250918_211831,1,0,1,0,0
active-13,20250918_211832,1,1,0,0,0
active-14,20250918_211832,1,0,1,0,0
active-15,20250918_211833,1,0,1,0,0
active-16,20250918_211833,1,0,1,0,0
active-17,20250918_211834,1,0,1,0,0
active-18,20250918_211834,1,0,1,0,0
active-19,20250918_211835,1,1,0,0,0
active-2,20250918_211836,1,1,0,0,0
active-20,20250918_211836,1,0,1,0,0
active-21,20250918_211836,1,0,1,0,0
active-22,20250918_211837,1,0,1,0,0
active-23,20250918_211837,1,0,1,0,0
active-24,20250918_211838,1,0,1,0,0
active-25,20250918_211839,1,1,0,0,0
active-26,20250918_211839,1,0,1,0,0
active-27,20250918_211840,1,0,1,0,0
active-28,20250918_211840,1,0,1,0,0
active-29,20250918_211841,1,0,1,0,0
active-3,20250918_211842,1,1,0,0,0
active-30,20250918_211842,1,0,1,0,0
active-31,20250918_211843,1,1,0,0,0
active-32,20250918_211844,1,0,1,0,0
active-33,20250918_211844,1,0,1,0,0
active-34,20250918_211845,1,0,1,0,0
active-35,20250918_211846,1,1,0,0,0
active-36,20250918_211847,1,0,1,0,0
active-37,20250918_211847,1,0,1,0,0
active-38,20250918_211849,1,1,0,0,0
active-39,20250918_211850,1,1,0,0,0
active-4,20250918_211851,1,1,0,0,0
active-40,20250918_211852,1,0,1,0,0
active-41,20250918_211852,1,0,1,0,0
active-42,20250918_211853,1,0,1,0,0
active-43,20250918_211853,1,0,1,0,0
active-44,20250918_211853,1,0,1,0,0
active-45,20250918_211853,1,0,1,0,0
active-46,20250918_211854,1,1,0,0,0
active-47,20250918_211855,1,0,1,0,0
active-48,20250918_211855,1,0,1,0,0
active-49,20250918_211856,1,0,1,0,0
active-5,20250918_211856,1,0,1,0,0
active-50,20250918_211857,1,0,1,0,0
active-51,20250918_211858,1,0,1,0,0
active-52,20250918_211858,1,0,1,0,0
active-53,20250918_211858,1,0,1,0,0
active-54,20250918_211859,1,0,1,0,0
active-55,20250918_211900,1,1,0,0,0
active-56,20250918_211900,1,0,1,0,0
active-57,20250918_211901,1,0,1,0,0
active-58,20250918_211901,1,0,1,0,0
active-59,20250918_211902,1,0,1,0,0
active-6,20250918_211903,1,1,0,0,0
active-60,20250918_211903,1,1,0,0,0
active-61,20250918_211904,1,0,1,0,0
active-62,20250918_211904,1,0,1,0,0
active-63,20250918_211905,1,0,1,0,0
active-64,20250918_211905,1,0,1,0,0
active-65,20250918_211906,1,0,1,0,0
active-66,20250918_211907,1,0,1,0,0
active-67,20250918_211907,1,0,1,0,0
active-68,20250918_211908,1,1,0,0,0
active-69,20250918_211909,1,0,1,0,0
active-7,20250918_211909,1,0,1,0,0
active-70,20250918_211909,1,0,1,0,0
active-71,20250918_211910,1,1,0,0,0
active-72,20250918_211910,1,0,1,0,0
active-73,20250918_211911,1,1,0,0,0
active-74,20250918_211911,1,0,1,0,0
active-75,20250918_211912,1,0,1,0,0
active-8,20250918_211912,1,0,1,0,0
active-9,20250918_211913,1,1,0,0,0
idle-0,20250918_211913,1,0,1,0,0
idle-1,20250918_211913,1,0,1,0,0
idle-10,20250918_211914,1,0,1,0,0
idle-11,20250918_211914,1,0,1,0,0
idle-12,20250918_211914,1,0,1,0,0
idle-13,20250918_211915,1,0,1,0,0
idle-14,20250918_211915,1,0,1,0,0
idle-15,20250918_211916,1,0,1,0,0
idle-16,20250918_211916,1,0,1,0,0
idle-17,20250918_211916,1,0,1,0,0
idle-18,20250918_211917,1,0,1,0,0
idle-19,20250918_211917,1,0,1,0,0
idle-2,20250918_211917,1,0,1,0,0
idle-20,20250918_211918,1,0,1,0,0
idle-21,20250918_211918,1,0,1,0,0
idle-22,20250918_211919,1,0,1,0,0
idle-23,20250918_211919,1,0,1,0,0
idle-3,20250918_211919,1,0,1,0,0
idle-4,20250918_211920,1,0,1,0,0
idle-5,20250918_211920,1,0,1,0,0
idle-6,20250918_211921,1,0,1,0,0
idle-7,20250918_211921,1,0,1,0,0
idle-8,20250918_211922,1,0,1,0,0
idle-9,20250918_211922,1,0,1,0,0
active-0,20250918_212022,1,1,0,0,0
active-1,20250918_212023,1,1,0,0,0
active-10,20250918_212023,1,1,0,0,0
active-11,20250918_212023,1,1,0,0,0
active-12,20250918_212023,1,1,0,0,0
active-13,20250918_212025,1,1,0,0,0
active-14,20250918_212025,1,1,0,0,0
active-15,20250918_212025,1,1,0,0,0
active-16,20250918_212026,1,1,0,0,0
active-17,20250918_212026,1,1,0,0,0
active-18,20250918_212026,1,1,0,0,0
active-19,20250918_212027,1,1,0,0,0
active-2,20250918_212028,1,1,0,0,0
active-20,20250918_212028,1,1,0,0,0
active-21,20250918_212028,1,1,0,0,0
active-22,20250918_212029,1,1,0,0,0
active-23,20250918_212029,1,1,0,0,0
active-24,20250918_212029,1,1,0,0,0
active-25,20250918_212030,1,1,0,0,0
active-26,20250918_212030,1,1,0,0,0
active-27,20250918_212032,1,1,0,0,0
active-28,20250918_212032,1,1,0,0,0
active-29,20250918_212032,1,1,0,0,0
active-3,20250918_212033,1,1,0,0,0
active-30,20250918_212033,1,1,0,0,0
active-31,20250918_212033,1,1,0,0,0
active-32,20250918_212034,1,1,0,0,0
active-33,20250918_212034,1,1,0,0,0
active-34,20250918_212035,1,1,0,0,0
active-35,20250918_212035,1,1,0,0,0
active-36,20250918_212036,1,1,0,0,0
active-37,20250918_212036,1,1,0,0,0
active-38,20250918_212037,1,1,0,0,0
active-39,20250918_212037,1,1,0,0,0
active-4,20250918_212038,1,1,0,0,0
active-40,20250918_212039,1,1,0,0,0
active-41,20250918_212039,1,1,0,0,0
active-42,20250918_212040,1,1,0,0,0
active-43,20250918_212040,1,1,0,0,0
active-44,20250918_212040,1,1,0,0,0
active-45,20250918_212040,1,1,0,0,0
active-46,20250918_212041,1,1,0,0,0
active-47,20250918_212042,1,1,0,0,0
active-48,20250918_212042,1,1,0,0,0
active-49,20250918_212043,1,1,0,0,0
active-5,20250918_212043,1,1,0,0,0
active-50,20250918_212044,1,1,0,0,0
active-51,20250918_212045,1,1,0,0,0
active-52,20250918_212045,1,1,0,0,0
active-53,20250918_212046,1,1,0,0,0
active-54,20250918_212046,1,1,0,0,0
active-55,20250918_212047,1,1,0,0,0
active-56,20250918_212047,1,1,0,0,0
active-57,20250918_212048,1,1,0,0,0
active-58,20250918_212048,1,1,0,0,0
active-59,20250918_212048,1,1,0,0,0
active-6,20250918_212049,1,1,0,0,0
active-60,20250918_212049,1,1,0,0,0
active-61,20250918_212049,1,1,0,0,0
active-62,20250918_212050,1,1,0,0,0
active-63,20250918_212051,1,1,0,0,0
active-64,20250918_212051,1,1,0,0,0
active-65,20250918_212052,1,1,0,0,0
active-66,20250918_212052,1,1,0,0,0
active-67,20250918_212052,1,1,0,0,0
active-68,20250918_212053,1,1,0,0,0
active-69,20250918_212053,1,1,0,0,0
active-7,20250918_212054,1,1,0,0,0
active-70,20250918_212054,1,1,0,0,0
active-71,20250918_212054,1,1,0,0,0
active-72,20250918_212055,1,1,0,0,0
active-73,20250918_212055,1,1,0,0,0
active-74,20250918_212056,1,1,0,0,0
active-75,20250918_212056,1,1,0,0,0
active-8,20250918_212057,1,1,0,0,0
active-9,20250918_212057,1,1,0,0,0
idle-0,20250918_212057,1,1,0,0,0
idle-1,20250918_212058,1,0,1,0,0
idle-10,20250918_212058,1,0,1,0,0
idle-11,20250918_212058,1,0,1,0,0
idle-12,20250918_212058,1,0,1,0,0
idle-13,20250918_212059,1,0,1,0,0
idle-14,20250918_212059,1,1,0,0,0
idle-15,20250918_212059,1,0,1,0,0
idle-16,20250918_212059,1,0,1,0,0
idle-17,20250918_212100,1,0,1,0,0
idle-18,20250918_212100,1,1,0,0,0
idle-19,20250918_212100,1,0,1,0,0
idle-2,20250918_212100,1,0,1,0,0
idle-20,20250918_212101,1,0,1,0,0
idle-21,20250918_212101,1,0,1,0,0
idle-22,20250918_212102,1,0,1,0,0
idle-23,20250918_212102,1,1,0,0,0
idle-3,20250918_212102,1,1,0,0,0
idle-4,20250918_212103,1,0,1,0,0
idle-5,20250918_212103,1,0,1,0,0
idle-6,20250918_212103,1,0,1,0,0
idle-7,20250918_212104,1,0,1,0,0
idle-8,20250918_212104,1,0,1,0,0
idle-9,20250918_212104,1,0,1,0,0
active-0,20250918_212205,1,1,0,0,0
active-1,20250918_212205,1,1,0,0,0
active-10,20250918_212205,1,1,0,0,0
active-11,20250918_212206,1,1,0,0,0
active-12,20250918_212206,1,1,0,0,0
active-13,20250918_212207,1,1,0,0,0
active-14,20250918_212207,1,1,0,0,0
active-15,20250918_212207,1,1,0,0,0
active-16,20250918_212208,1,1,0,0,0
active-17,20250918_212208,1,1,0,0,0
active-18,20250918_212208,1,1,0,0,0
active-19,20250918_212209,1,1,0,0,0
active-2,20250918_212210,1,1,0,0,0
active-20,20250918_212210,1,1,0,0,0
active-21,20250918_212210,1,1,0,0,0
active-22,20250918_212211,1,1,0,0,0
active-23,20250918_212211,1,1,0,0,0
active-24,20250918_212212,1,1,0,0,0
active-25,20250918_212212,1,1,0,0,0
active-26,20250918_212212,1,1,0,0,0
active-27,20250918_212214,1,1,0,0,0
active-28,20250918_212214,1,1,0,0,0
active-29,20250918_212215,1,1,0,0,0
active-3,20250918_212216,1,1,0,0,0
active-30,20250918_212216,1,1,0,0,0
active-31,20250918_212216,1,1,0,0,0
active-32,20250918_212217,1,1,0,0,0
active-33,20250918_212217,1,1,0,0,0
active-34,20250918_212217,1,1,0,0,0
active-35,20250918_212218,1,1,0,0,0
active-36,20250918_212220,1,1,0,0,0
active-37,20250918_212220,1,1,0,0,0
active-38,20250918_212220,1,1,0,0,0
active-39,20250918_212221,1,1,0,0,0
active-4,20250918_212221,1,1,0,0,0
active-40,20250918_212222,1,1,0,0,0
active-41,20250918_212222,1,1,0,0,0
active-42,20250918_212223,1,1,0,0,0
active-43,20250918_212223,1,1,0,0,0
active-44,20250918_212223,1,1,0,0,0
active-45,20250918_212224,1,1,0,0,0
active-46,20250918_212224,1,1,0,0,0
active-47,20250918_212225,1,1,0,0,0
active-48,20250918_212225,1,1,0,0,0
active-49,20250918_212225,1,1,0,0,0
active-5,20250918_212225,1,1,0,0,0
active-50,20250918_212226,1,1,0,0,0
active-51,20250918_212226,1,1,0,0,0
active-52,20250918_212226,1,1,0,0,0
active-53,20250918_212227,1,1,0,0,0
active-54,20250918_212227,1,1,0,0,0
active-55,20250918_212228,1,1,0,0,0
active-56,20250918_212228,1,1,0,0,0
active-57,20250918_212228,1,1,0,0,0
active-58,20250918_212229,1,1,0,0,0
active-59,20250918_212229,1,1,0,0,0
active-6,20250918_212230,1,1,0,0,0
active-60,20250918_212230,1,1,0,0,0
active-61,20250918_212231,1,1,0,0,0
active-62,20250918_212231,1,1,0,0,0
active-63,20250918_212231,1,1,0,0,0
active-64,20250918_212232,1,1,0,0,0
active-65,20250918_212232,1,1,0,0,0
active-66,20250918_212232,1,1,0,0,0
active-67,20250918_212233,1,1,0,0,0
active-68,20250918_212233,1,1,0,0,0
active-69,20250918_212234,1,1,0,0,0
active-7,20250918_212234,1,1,0,0,0
active-70,20250918_212234,1,1,0,0,0
active-71,20250918_212235,1,1,0,0,0
active-72,20250918_212235,1,1,0,0,0
active-73,20250918_212235,1,1,0,0,0
active-74,20250918_212236,1,1,0,0,0
active-75,20250918_212236,1,1,0,0,0
active-8,20250918_212236,1,1,0,0,0
active-9,20250918_212236,1,1,0,0,0
idle-0,20250918_212237,1,0,1,0,0
idle-1,20250918_212237,1,0,1,0,0
idle-10,20250918_212237,1,0,1,0,0
idle-11,20250918_212237,1,0,1,0,0
idle-12,20250918_212238,1,0,1,0,0
idle-13,20250918_212238,1,0,1,0,0
idle-14,20250918_212238,1,0,1,0,0
idle-15,20250918_212238,1,0,1,0,0
idle-16,20250918_212238,1,0,1,0,0
idle-17,20250918_212239,1,0,1,0,0
idle-18,20250918_212239,1,0,1,0,0
idle-19,20250918_212239,1,0,1,0,0
idle-2,20250918_212239,1,0,1,0,0
idle-20,20250918_212240,1,0,1,0,0
idle-21,20250918_212240,1,0,1,0,0
idle-22,20250918_212240,1,0,1,0,0
idle-23,20250918_212240,1,0,1,0,0
idle-3,20250918_212241,1,0,1,0,0
idle-4,20250918_212241,1,0,1,0,0
idle-5,20250918_212241,1,0,1,0,0
idle-6,20250918_212241,1,0,1,0,0
idle-7,20250918_212242,1,0,1,0,0
idle-8,20250918_212242,1,0,1,0,0
idle-9,20250918_212242,1,0,1,0,0
active-0,20250918_212343,1,1,0,0,0
active-1,20250918_212343,1,1,0,0,0
active-10,20250918_212343,1,1,0,0,0
active-11,20250918_212343,1,1,0,0,0
active-12,20250918_212344,1,1,0,0,0
active-13,20250918_212344,1,1,0,0,0
active-14,20250918_212345,1,1,0,0,0
active-15,20250918_212345,1,1,0,0,0
active-16,20250918_212345,1,1,0,0,0
active-17,20250918_212348,1,1,0,0,0
active-18,20250918_212348,1,1,0,0,0
active-19,20250918_212349,1,1,0,0,0
active-2,20250918_212349,1,1,0,0,0
active-20,20250918_212350,1,1,0,0,0
active-21,20250918_212350,1,1,0,0,0
active-22,20250918_212350,1,1,0,0,0
active-23,20250918_212351,1,1,0,0,0
active-24,20250918_212351,1,1,0,0,0
active-25,20250918_212352,1,1,0,0,0
active-26,20250918_212352,1,1,0,0,0
active-27,20250918_212353,1,1,0,0,0
active-28,20250918_212353,1,1,0,0,0
active-29,20250918_212353,1,1,0,0,0
active-3,20250918_212354,1,1,0,0,0
active-30,20250918_212354,1,1,0,0,0
active-31,20250918_212355,1,1,0,0,0
active-32,20250918_212355,1,1,0,0,0
active-33,20250918_212356,1,1,0,0,0
active-34,20250918_212356,1,1,0,0,0
