,pod_name,avg_activity,max_activity,min_activity
0,active-0,0.001,0.001,0.001
1,active-1,0.001,0.001,0.001
2,active-10,0.001,0.001,0.001
3,active-11,0.001,0.001,0.001
4,active-12,0.001,0.001,0.001
5,active-13,0.073,0.075,0.071
6,active-14,0.001,0.001,0.001
7,active-15,0.001,0.001,0.001
8,active-16,0.001,0.001,0.001
9,active-17,0.001,0.001,0.001
10,active-18,0.001,0.001,0.001
11,active-19,0.073,0.075,0.07
12,active-2,0.074,0.076,0.068
13,active-20,0.024,0.025,0.022
14,active-21,0.001,0.001,0.001
15,active-22,0.073,0.076,0.072
16,active-23,0.001,0.001,0.001
17,active-24,0.024,0.025,0.022
18,active-25,0.073,0.075,0.071
19,active-26,0.001,0.001,0.001
20,active-27,0.039,0.042,0.036
21,active-28,0.001,0.001,0.001
22,active-29,0.001,0.001,0.001
23,active-3,0.072,0.075,0.07
24,active-30,0.001,0.001,0.001
25,active-31,0.024,0.026,0.022
26,active-32,0.039,0.042,0.036
27,active-33,0.001,0.001,0.001
28,active-34,0.001,0.001,0.001
29,active-35,0.073,0.077,0.07
30,active-36,0.039,0.043,0.037
31,active-37,0.001,0.001,0.001
32,active-38,0.039,0.043,0.037
33,active-39,0.039,0.041,0.037
34,active-4,0.072,0.076,0.068
35,active-40,0.001,0.002,0.001
36,active-41,0.001,0.002,0.001
37,active-42,0.001,0.001,0.001
38,active-43,0.024,0.026,0.022
39,active-44,0.001,0.001,0.001
40,active-45,0.001,0.002,0.001
41,active-46,0.073,0.079,0.069
42,active-47,0.024,0.026,0.022
43,active-48,0.023,0.025,0.022
44,active-49,0.023,0.025,0.021
45,active-5,0.001,0.001,0.001
46,active-50,0.001,0.002,0.001
47,active-51,0.001,0.001,0.001
48,active-52,0.001,0.001,0.001
49,active-53,0.001,0.001,0.001
50,active-54,0.001,0.001,0.001
51,active-55,0.04,0.043,0.037
52,active-56,0.001,0.001,0.001
53,active-57,0.039,0.042,0.036
54,active-58,0.039,0.041,0.036
55,active-59,0.002,0.002,0.002
56,active-6,0.072,0.073,0.07
57,active-60,0.04,0.041,0.038
58,active-61,0.002,0.002,0.002
59,active-62,0.001,0.001,0.001
60,active-63,0.041,0.044,0.039
61,active-64,0.001,0.001,0.001
62,active-65,0.001,0.001,0.001
63,active-66,0.002,0.002,0.002
64,active-67,0.001,0.001,0.001
65,active-68,0.071,0.073,0.068
66,active-69,0.001,0.001,0.001
67,active-7,0.001,0.001,0.001
68,active-70,0.001,0.001,0.001
69,active-71,0.073,0.075,0.069
70,active-72,0.042,0.045,0.037
71,active-73,0.041,0.042,0.039
72,active-74,0.041,0.043,0.038
73,active-75,0.001,0.001,0.001
74,active-8,0.001,0.001,0.001
75,active-9,0.024,0.027,0.022
76,idle-0,0.0,0.0,0.0
77,idle-1,0.0,0.0,0.0
78,idle-10,0.0,0.0,0.0
79,idle-11,0.0,0.0,0.0
80,idle-12,0.0,0.0,0.0
81,idle-13,0.0,0.0,0.0
82,idle-14,0.0,0.0,0.0
83,idle-15,0.0,0.0,0.0
84,idle-16,0.0,0.0,0.0
85,idle-17,0.0,0.0,0.0
86,idle-18,0.0,0.0,0.0
87,idle-19,0.0,0.0,0.0
88,idle-2,0.0,0.0,0.0
89,idle-20,0.0,0.0,0.0
90,idle-21,0.0,0.0,0.0
91,idle-22,0.0,0.0,0.0
92,idle-23,0.0,0.0,0.0
93,idle-3,0.0,0.0,0.0
94,idle-4,0.0,0.0,0.0
95,idle-5,0.0,0.0,0.0
96,idle-6,0.0,0.0,0.0
97,idle-7,0.0,0.0,0.0
98,idle-8,0.0,0.0,0.0
99,idle-9,0.0,0.0,0.0
