,pod_name,avg_activity,max_activity,min_activity
0,active-0,0.001,0.001,0.001
1,active-1,0.072,0.077,0.069
2,active-10,0.001,0.001,0.001
3,active-11,0.024,0.026,0.022
4,active-12,0.073,0.076,0.07
5,active-13,0.001,0.001,0.001
6,active-14,0.023,0.025,0.022
7,active-15,0.072,0.073,0.071
8,active-16,0.001,0.001,0.001
9,active-17,0.024,0.026,0.023
10,active-18,0.001,0.001,0.001
11,active-19,0.071,0.076,0.068
12,active-2,0.001,0.001,0.001
13,active-20,0.001,0.001,0.001
14,active-21,0.073,0.074,0.07
15,active-22,0.072,0.075,0.068
16,active-23,0.073,0.075,0.071
17,active-24,0.001,0.001,0.001
18,active-25,0.001,0.001,0.001
19,active-26,0.073,0.077,0.068
20,active-27,0.001,0.001,0.001
21,active-28,0.001,0.001,0.001
22,active-29,0.024,0.025,0.022
23,active-3,0.072,0.076,0.067
24,active-30,0.001,0.001,0.001
25,active-31,0.038,0.041,0.036
26,active-32,0.001,0.002,0.001
27,active-33,0.001,0.001,0.001
28,active-34,0.001,0.001,0.001
29,active-4,0.001,0.001,0.001
30,active-5,0.001,0.001,0.001
31,active-6,0.07,0.072,0.067
32,active-7,0.073,0.076,0.068
33,active-8,0.073,0.077,0.07
34,active-9,0.023,0.025,0.022
35,idle-0,0.0,0.0,0.0
36,idle-1,0.0,0.0,0.0
37,idle-10,0.0,0.0,0.0
38,idle-11,0.0,0.0,0.0
39,idle-12,0.0,0.0,0.0
40,idle-13,0.0,0.0,0.0
41,idle-14,0.0,0.0,0.0
42,idle-15,0.0,0.0,0.0
43,idle-16,0.0,0.0,0.0
44,idle-17,0.0,0.0,0.0
45,idle-18,0.0,0.0,0.0
46,idle-19,0.0,0.0,0.0
47,idle-2,0.0,0.0,0.0
48,idle-20,0.0,0.0,0.0
49,idle-21,0.0,0.0,0.0
50,idle-22,0.0,0.0,0.0
51,idle-23,0.0,0.0,0.0
52,idle-24,0.0,0.0,0.0
53,idle-25,0.0,0.0,0.0
54,idle-26,0.0,0.0,0.0
55,idle-27,0.0,0.0,0.0
56,idle-28,0.0,0.0,0.0
57,idle-29,0.0,0.0,0.0
58,idle-3,0.0,0.0,0.0
59,idle-30,0.0,0.0,0.0
60,idle-31,0.0,0.0,0.0
61,idle-32,0.0,0.0,0.0
62,idle-33,0.0,0.0,0.0
63,idle-34,0.0,0.0,0.0
64,idle-35,0.0,0.0,0.0
65,idle-36,0.0,0.0,0.0
66,idle-37,0.0,0.0,0.0
67,idle-38,0.0,0.0,0.0
68,idle-39,0.0,0.0,0.0
69,idle-4,0.0,0.0,0.0
70,idle-40,0.0,0.0,0.0
71,idle-41,0.0,0.0,0.0
72,idle-42,0.0,0.0,0.0
73,idle-43,0.0,0.0,0.0
74,idle-44,0.0,0.0,0.0
75,idle-45,0.0,0.0,0.0
76,idle-46,0.0,0.0,0.0
77,idle-47,0.0,0.0,0.0
78,idle-48,0.0,0.0,0.0
79,idle-49,0.0,0.0,0.0
80,idle-5,0.0,0.0,0.0
81,idle-50,0.0,0.0,0.0
82,idle-51,0.0,0.0,0.0
83,idle-52,0.0,0.0,0.0
84,idle-53,0.0,0.0,0.0
85,idle-54,0.0,0.0,0.0
86,idle-55,0.0,0.0,0.0
87,idle-56,0.0,0.0,0.0
88,idle-57,0.0,0.0,0.0
89,idle-58,0.0,0.0,0.0
90,idle-59,0.0,0.0,0.0
91,idle-6,0.0,0.0,0.0
92,idle-60,0.0,0.0,0.0
93,idle-61,0.0,0.0,0.0
94,idle-62,0.0,0.0,0.0
95,idle-63,0.0,0.0,0.0
96,idle-64,0.0,0.0,0.0
97,idle-7,0.0,0.0,0.0
98,idle-8,0.0,0.0,0.0
99,idle-9,0.0,0.0,0.0
