pod_name,,state,reason,cpu_activity
active-0,0,ACTIVE,Running_state,
active-0,1,ACTIVE,Running_state,0.0723638922845
active-0,2,ACTIVE,Running_state,0.0694945499633487
active-0,3,ACTIVE,high_cpu_activity,0.0748456669423747
active-0,4,ACTIVE,high_cpu_activity,0.0721147495174008
active-0,5,ACTIVE,Running_state,0.0749531476462011
active-0,6,ACTIVE,Running_state,0.0733232687295368
active-0,7,ACTIVE,high_cpu_activity,0.068678212067082
active-0,8,ACTIVE,Running_state,0.0696769585754748
active-0,9,ACTIVE,Running_state,0.0740996140648857
active-1,0,IDLE,cpu_activity_None,
active-1,1,ACTIVE,low_cpu_activity_1h,0.0011214983333215
active-1,2,ACTIVE,low_cpu_activity_1h,0.0010946253484713
active-1,3,ACTIVE,low_cpu_activity_1h,0.0011362764169675
active-1,4,ACTIVE,low_cpu_activity_1h,0.0010031067532749
active-1,5,ACTIVE,low_cpu_activity_1h,0.0009326897655643
active-1,6,ACTIVE,low_cpu_activity_1h,0.0011066359015688
active-1,7,ACTIVE,low_cpu_activity_1h,0.0009533358017181
active-1,8,ACTIVE,low_cpu_activity_1h,0.0010472468761546
active-1,9,ACTIVE,low_cpu_activity_1h,0.0011317128947058
active-10,0,ACTIVE,Running_state,
active-10,1,ACTIVE,high_cpu_activity,0.0718976192736519
active-10,2,ACTIVE,high_cpu_activity,0.0701193480077325
active-10,3,ACTIVE,high_cpu_activity,0.0700110900343052
active-10,4,ACTIVE,Running_state,0.0692991863729841
active-10,5,ACTIVE,Running_state,0.068537357826591
active-10,6,ACTIVE,high_cpu_activity,0.073260311925242
active-10,7,ACTIVE,high_cpu_activity,0.0719298706317143
active-10,8,ACTIVE,Running_state,0.0689259296922064
active-10,9,ACTIVE,high_cpu_activity,0.0716829643359475
active-11,0,IDLE,cpu_activity_None,
active-11,1,ACTIVE,high_cpu_activity,0.0250703287990701
active-11,2,ACTIVE,high_cpu_activity,0.0240057655410857
active-11,3,ACTIVE,high_cpu_activity,0.0254406069407121
active-11,4,ACTIVE,high_cpu_activity,0.0237292709650192
active-11,5,ACTIVE,high_cpu_activity,0.0235482449495588
active-11,6,ACTIVE,high_cpu_activity,0.0229290827090863
active-11,7,ACTIVE,high_cpu_activity,0.0240476187132609
